measurement no.	daily measurement	date	avg_T1	avg_T2	avg_p1	avg_p2
48	2	2022-06-10	19.846218154838713	19.848005406451612	2.1713983548387095	2.0518758193548385
49	3	2022-06-10	19.87339139320388	19.875203660194178	2.208131432038835	2.085042
50	4	2022-06-10	19.91075227638191	19.916955464824124	2.2185863944723616	2.0906826633165827
51	5	2022-06-10	19.99203454326923	19.996357086538463	2.211155653846154	2.0819276394230766
52	6	2022-06-10	20.001229412429378	20.00821066101695	2.2165266440677964	2.103486655367232
53	7	2022-06-10	20.032857269662923	20.03984091573034	2.2592954662921345	2.1419328258426966
54	8	2022-06-10	18.99151627922078	18.981724818181817	1.454813357142857	1.3408066363636364
55	9	2022-06-10	19.058168146892655	19.06597684180791	1.4788259209039547	1.3591106610169492
56	10	2022-06-10	19.298143283236993	19.306242312138732	1.5071443294797688	1.3849006300578035
57	11	2022-06-10	19.418673353591164	19.418408900552485	1.0981902541436463	0.9889813093922654
58	12	2022-06-10	19.463377569444447	19.477660458333332	1.1005109861111113	0.9894949652777778
59	13	2022-06-10	19.45694517647059	19.482760921568627	1.0987189869281047	0.9817986339869281
60	14	2022-06-10	19.44249170469799	19.468257060402685	1.0989880872483222	0.9782339194630871
61	1	2022-06-10-dp4	19.571800868686868	19.619080252525254	1.1186253989898989	1.0255780151515153
62	2	2022-06-10-dp4	19.578924683040935	19.601048667836253	1.10040236374269	0.9849498584795321
63	1	2022-06-13	32.3921522113402	32.29066974226804	1.9550977525773194	1.8395262474226806
64	2	2022-06-13	32.862963115226336	32.7381236872428	1.9773900658436216	1.8531455349794237
65	3	2022-06-13	32.85199556060606	32.74812707070707	1.5954876111111111	1.493212853535353
66	4	2022-06-13	32.687908604166665	32.57970025	1.6390633819444445	1.5280460625
67	5	2022-06-13	32.73793617037037	32.63643031851852	1.1256206592592595	1.0195624222222222
68	6	2022-06-13	32.775891088050315	32.69631245911949	1.1218694842767294	1.0155652452830188
69	7	2022-06-13	53.32006391735537	53.0722637768595	1.1291869256198346	1.0282162231404959
70	8	2022-06-13	53.35115701724139	53.11000711206896	1.1302809741379314	1.0257568275862068
71	9	2022-06-13	52.66335974482759	52.438888779310346	1.1298086551724136	1.0209471172413793
72	10	2022-06-13	52.27400118867925	52.047330542452826	1.1299613773584907	1.0168560283018866
73	11	2022-06-13	52.085958206896564	51.86505776724139	1.1304723189655173	1.0144757844827585
74	12	2022-06-13	51.80341102717391	51.52717461956522	2.076595516304348	1.9776428532608694
75	13	2022-06-13	51.81567758940397	51.53521586092715	2.1007029933774835	1.989649556291391
76	14	2022-06-13	51.934340818965524	51.64813973275862	2.1166898189655177	1.9987967500000001
77	15	2022-06-13	51.98431023846154	51.66750233846154	2.1117147230769233	1.9910660461538459
78	16	2022-06-13	52.08094862931035	51.74132618965518	2.1164548620689656	1.9925035603448278
